ENSCAFT00000000001	476153	cfa00230=Purine metabolism.cfa00500=Starch and sucrose metabolism.cfa00740=Riboflavin metabolism.cfa00760=Nicotinate and nicotinamide metabolism.cfa00770=Pantothenate and CoA biosynthesis.cfa01100=Metabolic pathways
ENSCAFT00000000005	U	N
ENSCAFT00000000006	483923	cfa04144=Endocytosis.cfa04530=Tight junction
ENSCAFT00000000008	U	N
ENSCAFT00000000009	476156	cfa03040=Spliceosome
ENSCAFT00000000011	U	N
ENSCAFT00000000012	476158	N
ENSCAFT00000000013	483925	cfa04310=Wnt signaling pathway.cfa04360=Axon guidance.cfa04370=VEGF signaling pathway.cfa04650=Natural killer cell mediated cytotoxicity.cfa04660=T cell receptor signaling pathway.cfa04662=B cell receptor signaling pathway.cfa05166=HTLV-I infection
ENSCAFT00000000014	483926	N
ENSCAFT00000000017	607126	N
ENSCAFT00000000023	483928	cfa04080=Neuroactive ligand-receptor interaction
ENSCAFT00000000024	476160	N
ENSCAFT00000000028	483929	N
ENSCAFT00000000033	483930	N
ENSCAFT00000000035	476162	N
ENSCAFT00000000037	476164	N
ENSCAFT00000000039	476165	cfa00330=Arginine and proline metabolism.cfa00340=Histidine metabolism.cfa00410=beta-Alanine metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000040	476166	cfa00330=Arginine and proline metabolism.cfa00340=Histidine metabolism.cfa00410=beta-Alanine metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000043	608630	N
ENSCAFT00000000044	476167	N
ENSCAFT00000000045	478509.608033	cfa03010=Ribosome
ENSCAFT00000000046	476170	N
ENSCAFT00000000047	U	N
ENSCAFT00000000049	483935	N
ENSCAFT00000000050	483936	N
ENSCAFT00000000055	483940	N
ENSCAFT00000000056	609196	cfa04514=Cell adhesion molecules (CAMs)
ENSCAFT00000000059	476173	N
ENSCAFT00000000060	483942	N
ENSCAFT00000000063	476176	N
ENSCAFT00000000066	481092	cfa04740=Olfactory transduction
ENSCAFT00000000067	483944	N
ENSCAFT00000000071	U	N
ENSCAFT00000000074	474390	N
ENSCAFT00000000076	483949	N
ENSCAFT00000000079	483952	N
ENSCAFT00000000080	483951	cfa05146=Amoebiasis
ENSCAFT00000000082	609604	cfa05146=Amoebiasis
ENSCAFT00000000084	483953	N
ENSCAFT00000000086	483955	cfa05146=Amoebiasis
ENSCAFT00000000088	476177	N
ENSCAFT00000000090	481097	cfa04510=Focal adhesion.cfa04512=ECM-receptor interaction.cfa04810=Regulation of actin cytoskeleton.cfa05410=Hypertrophic cardiomyopathy (HCM).cfa05412=Arrhythmogenic right ventricular cardiomyopathy (ARVC).cfa05414=Dilated cardiomyopathy
ENSCAFT00000000098	U	N
ENSCAFT00000000100	481099	cfa00830=Retinol metabolism
ENSCAFT00000000104	474400	N
ENSCAFT00000000107	U	N
ENSCAFT00000000112	474391	cfa04142=Lysosome
ENSCAFT00000000114	606826	N
ENSCAFT00000000116	607306	cfa04144=Endocytosis
ENSCAFT00000000117	U	N
ENSCAFT00000000118	U	N
ENSCAFT00000000119	U	N
ENSCAFT00000000121	U	N
ENSCAFT00000000122	U	N
ENSCAFT00000000123	476179	N
ENSCAFT00000000124	489926	N
ENSCAFT00000000125	606845	N
ENSCAFT00000000126	476180	N
ENSCAFT00000000127	606853	N
ENSCAFT00000000128	483957	cfa04060=Cytokine-cytokine receptor interaction.cfa04380=Osteoclast differentiation.cfa05323=Rheumatoid arthritis
ENSCAFT00000000129	481101	cfa03013=RNA transport.cfa03015=mRNA surveillance pathway
ENSCAFT00000000131	474393	cfa00561=Glycerolipid metabolism.cfa00564=Glycerophospholipid metabolism.cfa01100=Metabolic pathways.cfa04070=Phosphatidylinositol signaling system
ENSCAFT00000000132	481102	N
ENSCAFT00000000134	476181	N
ENSCAFT00000000137	476182	cfa00563=Glycosylphosphatidylinositol(GPI)-anchor biosynthesis.cfa01100=Metabolic pathways
ENSCAFT00000000138	476183.481990	N
ENSCAFT00000000140	606931	cfa04110=Cell cycle.cfa04114=Oocyte meiosis.cfa04115=p53 signaling pathway.cfa04914=Progesterone-mediated oocyte maturation.cfa05162=Measles.cfa05168=Herpes simplex infection.cfa05200=Pathways in cancer.cfa05215=Prostate cancer.cfa05222=Small cell lung cancer
ENSCAFT00000000141	483959	N
ENSCAFT00000000142	474394	cfa04144=Endocytosis.cfa04145=Phagosome.cfa04962=Vasopressin-regulated water reabsorption.cfa05146=Amoebiasis.cfa05152=Tuberculosis
ENSCAFT00000000143	481103	cfa00920=Sulfur metabolism
ENSCAFT00000000144	483960	N
ENSCAFT00000000145	483961	cfa04080=Neuroactive ligand-receptor interaction
ENSCAFT00000000149	610092	N
ENSCAFT00000000151	481104	N
ENSCAFT00000000153	476186	cfa04141=Protein processing in endoplasmic reticulum
ENSCAFT00000000154	612922	cfa04721=Synaptic vesicle cycle
ENSCAFT00000000155	U	N
ENSCAFT00000000157	U	N
ENSCAFT00000000158	404003	cfa03060=Protein export
ENSCAFT00000000159	481105	cfa04012=ErbB signaling pathway.cfa04020=Calcium signaling pathway.cfa04144=Endocytosis
ENSCAFT00000000160	610160	N
ENSCAFT00000000162	U	N
ENSCAFT00000000163	474396	N
ENSCAFT00000000165	481106	N
ENSCAFT00000000166	476188	cfa04660=T cell receptor signaling pathway.cfa04662=B cell receptor signaling pathway.cfa05152=Tuberculosis
ENSCAFT00000000169	483966	N
ENSCAFT00000000170	474397	N
ENSCAFT00000000173	U	N
ENSCAFT00000000176	606992	cfa04270=Vascular smooth muscle contraction
ENSCAFT00000000183	607044	cfa04144=Endocytosis
ENSCAFT00000000184	481108	N
ENSCAFT00000000185	481109	N
ENSCAFT00000000187	474402	N
ENSCAFT00000000190	607115	N
ENSCAFT00000000197	474404	cfa03018=RNA degradation
ENSCAFT00000000198	481110	cfa04060=Cytokine-cytokine receptor interaction.cfa04630=Jak-STAT signaling pathway.cfa05133=Pertussis.cfa05152=Tuberculosis.cfa05323=Rheumatoid arthritis
ENSCAFT00000000200	476189	cfa04120=Ubiquitin mediated proteolysis.cfa04144=Endocytosis.cfa04960=Aldosterone-regulated sodium reabsorption
ENSCAFT00000000201	481111	cfa04062=Chemokine signaling pathway.cfa04380=Osteoclast differentiation.cfa04630=Jak-STAT signaling pathway.cfa05160=Hepatitis C.cfa05162=Measles.cfa05164=Influenza A.cfa05168=Herpes simplex infection
ENSCAFT00000000203	476190	N
ENSCAFT00000000206	481112	N
ENSCAFT00000000207	607631	cfa00970=Aminoacyl-tRNA biosynthesis
ENSCAFT00000000209	476190.610360	cfa00860=Porphyrin and chlorophyll metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000210	483967	N
ENSCAFT00000000211	607104	N
ENSCAFT00000000212	612940	N
ENSCAFT00000000213	481113	N
ENSCAFT00000000215	U	N
ENSCAFT00000000217	481115	N
ENSCAFT00000000219	U	N
ENSCAFT00000000220	481116	N
ENSCAFT00000000221	476191	N
ENSCAFT00000000224	403669	cfa00190=Oxidative phosphorylation.cfa01100=Metabolic pathways.cfa05010=Alzheimer's disease.cfa05012=Parkinson's disease.cfa05016=Huntington's disease
ENSCAFT00000000226	612760	cfa00590=Arachidonic acid metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000227	483970	N
ENSCAFT00000000229	U	N
ENSCAFT00000000230	474408.613013	N
ENSCAFT00000000231	U	N
ENSCAFT00000000232	403949	N
ENSCAFT00000000233	483973	N
ENSCAFT00000000235	481118	cfa00140=Steroid hormone biosynthesis.cfa00830=Retinol metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000237	483974	cfa04972=Pancreatic secretion
ENSCAFT00000000238	U	N
ENSCAFT00000000239	476193	N
ENSCAFT00000000241	481119	N
ENSCAFT00000000242	U	N
ENSCAFT00000000243	483975	N
ENSCAFT00000000244	609619	N
ENSCAFT00000000246	474409	cfa00830=Retinol metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000248	481426	N
ENSCAFT00000000251	U	N
ENSCAFT00000000252	U	N
ENSCAFT00000000253	U	N
ENSCAFT00000000254	483976	cfa04360=Axon guidance.cfa05200=Pathways in cancer.cfa05210=Colorectal cancer
ENSCAFT00000000256	607350	N
ENSCAFT00000000260	481122	N
ENSCAFT00000000261	474630	cfa00120=Primary bile acid biosynthesis.cfa01100=Metabolic pathways.cfa04146=Peroxisome
ENSCAFT00000000262	476195	N
ENSCAFT00000000266	476196	cfa04110=Cell cycle.cfa04310=Wnt signaling pathway.cfa04350=TGF-beta signaling pathway.cfa04520=Adherens junction.cfa05166=HTLV-I infection.cfa05200=Pathways in cancer.cfa05210=Colorectal cancer.cfa05212=Pancreatic cancer.cfa05220=Chronic myeloid leukemia
ENSCAFT00000000267	481428	N
ENSCAFT00000000268	476197	cfa03013=RNA transport
ENSCAFT00000000269	U	N
ENSCAFT00000000270	476198	cfa00620=Pyruvate metabolism
ENSCAFT00000000273	474631	N
ENSCAFT00000000275	483979	N
ENSCAFT00000000277	483981	cfa04080=Neuroactive ligand-receptor interaction
ENSCAFT00000000278	476200	cfa03015=mRNA surveillance pathway
ENSCAFT00000000281	476201	N
ENSCAFT00000000282	483983	N
ENSCAFT00000000283	U	N
ENSCAFT00000000288	476202	N
ENSCAFT00000000292	483986	N
ENSCAFT00000000293	483987	cfa04130=SNARE interactions in vesicular transport.cfa04145=Phagosome
ENSCAFT00000000295	U	N
ENSCAFT00000000296	483989	cfa04080=Neuroactive ligand-receptor interaction
ENSCAFT00000000298	611318	N
ENSCAFT00000000299	476206	cfa03010=Ribosome
ENSCAFT00000000302	U	N
ENSCAFT00000000305	607422	cfa04350=TGF-beta signaling pathway
ENSCAFT00000000308	481432	cfa04360=Axon guidance
ENSCAFT00000000311	474635	N
ENSCAFT00000000312	U	N
ENSCAFT00000000313	607458	cfa00260=Glycine, serine and threonine metabolism.cfa00460=Cyanoamino acid metabolism.cfa00670=One carbon pool by folate.cfa01100=Metabolic pathways
ENSCAFT00000000314	483991	N
ENSCAFT00000000319	607407	cfa00190=Oxidative phosphorylation.cfa01100=Metabolic pathways.cfa05010=Alzheimer's disease.cfa05012=Parkinson's disease.cfa05016=Huntington's disease
ENSCAFT00000000321	481434	N
ENSCAFT00000000323	481125	N
ENSCAFT00000000324	607494	cfa04142=Lysosome
ENSCAFT00000000325	474636	cfa04140=Regulation of autophagy.cfa04622=RIG-I-like receptor signaling pathway
ENSCAFT00000000328	483993	N
ENSCAFT00000000329	474637	cfa00270=Cysteine and methionine metabolism.cfa00430=Taurine and hypotaurine metabolism.cfa01100=Metabolic pathways
ENSCAFT00000000331	481436	cfa04620=Toll-like receptor signaling pathway.cfa05133=Pertussis
ENSCAFT00000000332	476209.609509	cfa03022=Basal transcription factors.cfa05016=Huntington's disease.cfa05166=HTLV-I infection.cfa05168=Herpes simplex infection
ENSCAFT00000000333	481437	N
ENSCAFT00000000334	481438	N
ENSCAFT00000000337	474638	N
ENSCAFT00000000338	483994	N
ENSCAFT00000000341	481440	N
ENSCAFT00000000342	403647	cfa04960=Aldosterone-regulated sodium reabsorption
ENSCAFT00000000344	474412	N
ENSCAFT00000000350	U	N
ENSCAFT00000000351	474640	N
ENSCAFT00000000352	481126	cfa04340=Hedgehog signaling pathway.cfa05200=Pathways in cancer.cfa05217=Basal cell carcinoma
ENSCAFT00000000353	476210	N
ENSCAFT00000000357	474641	N
ENSCAFT00000000358	474413	N
ENSCAFT00000000360	476211	cfa03015=mRNA surveillance pathway.cfa05134=Legionellosis
ENSCAFT00000000363	483995	cfa05166=HTLV-I infection
ENSCAFT00000000364	U	N
ENSCAFT00000000365	474414	cfa00450=Selenocompound metabolism.cfa00970=Aminoacyl-tRNA biosynthesis
ENSCAFT00000000366	481445	cfa00532=Glycosaminoglycan biosynthesis - chondroitin sulfate.cfa00534=Glycosaminoglycan biosynthesis - heparan sulfate.cfa01100=Metabolic pathways
ENSCAFT00000000367	607439	cfa04010=MAPK signaling pathway.cfa04141=Protein processing in endoplasmic reticulum.cfa05202=Transcriptional misregulation in cancer
ENSCAFT00000000370	481446	N
ENSCAFT00000000373	476212	N
ENSCAFT00000000375	474643	N
ENSCAFT00000000376	474644	cfa03008=Ribosome biogenesis in eukaryotes
ENSCAFT00000000377	U	N
ENSCAFT00000000378	483996	cfa00230=Purine metabolism
ENSCAFT00000000380	483997	N
ENSCAFT00000000381	481448	N
ENSCAFT00000000384	U	N
ENSCAFT00000000386	U	N
ENSCAFT00000000387	U	N
ENSCAFT00000000388	474416	cfa04728=Dopaminergic synapse
ENSCAFT00000000389	U	N
ENSCAFT00000000391	474417	cfa00562=Inositol phosphate metabolism.cfa04070=Phosphatidylinositol signaling system.cfa04810=Regulation of actin cytoskeleton
ENSCAFT00000000393	607485	N
ENSCAFT00000000394	474645	N
ENSCAFT00000000397	U	N
ENSCAFT00000000399	484000	cfa04146=Peroxisome
ENSCAFT00000000400	484001	N
ENSCAFT00000000401	481129	cfa00604=Glycosphingolipid biosynthesis - ganglio series.cfa01100=Metabolic pathways
ENSCAFT00000000403	484002	cfa04060=Cytokine-cytokine receptor interaction.cfa04630=Jak-STAT signaling pathway
ENSCAFT00000000408	611470	cfa04060=Cytokine-cytokine receptor interaction.cfa04630=Jak-STAT signaling pathway
ENSCAFT00000000409	U	N
ENSCAFT00000000410	481449	cfa03030=DNA replication.cfa03420=Nucleotide excision repair.cfa03430=Mismatch repair.cfa03440=Homologous recombination.cfa03460=Fanconi anemia pathway
ENSCAFT00000000411	474419	cfa04141=Protein processing in endoplasmic reticulum
ENSCAFT00000000413	476216	cfa04060=Cytokine-cytokine receptor interaction.cfa04380=Osteoclast differentiation.cfa04630=Jak-STAT signaling pathway.cfa04650=Natural killer cell mediated cytotoxicity.cfa05132=Salmonella infection.cfa05140=Leishmaniasis.cfa05142=Chagas disease (American trypanosomiasis).cfa05145=Toxoplasmosis.cfa05152=Tuberculosis.cfa05162=Measles.cfa05164=Influenza A.cfa05168=Herpes simplex infection
ENSCAFT00000000414	476217	N
ENSCAFT00000000416	484005	N
ENSCAFT00000000417	481450	cfa04740=Olfactory transduction
ENSCAFT00000000419	474647	N
ENSCAFT00000000421	484006	cfa04621=NOD-like receptor signaling pathway.cfa05162=Measles
ENSCAFT00000000422	476218	cfa04115=p53 signaling pathway
ENSCAFT00000000423	484007	N
ENSCAFT00000000424	484008	N
ENSCAFT00000000425	607447	cfa04740=Olfactory transduction
ENSCAFT00000000426	U	N
ENSCAFT00000000433	476220	N
ENSCAFT00000000434	481130	cfa04144=Endocytosis
ENSCAFT00000000436	403676	N
ENSCAFT00000000437	476221	N
ENSCAFT00000000438	476222	N
ENSCAFT00000000439	476223	N
ENSCAFT00000000441	476224	N
ENSCAFT00000000442	U	N
ENSCAFT00000000446	481133	cfa00100=Steroid biosynthesis.cfa01100=Metabolic pathways.cfa05152=Tuberculosis
ENSCAFT00000000448	607590	N
ENSCAFT00000000451	481134	N
ENSCAFT00000000452	611644	cfa04080=Neuroactive ligand-receptor interaction
ENSCAFT00000000455	612830	cfa04144=Endocytosis
ENSCAFT00000000457	484013	N
ENSCAFT00000000460	484014	N
ENSCAFT00000000467	U	N
ENSCAFT00000000470	474420	N
ENSCAFT00000000471	484015	cfa04146=Peroxisome
ENSCAFT00000000474	481135	N
ENSCAFT00000000475	U	N
ENSCAFT00000000476	484016	cfa00511=Other glycan degradation
ENSCAFT00000000477	611574	N
ENSCAFT00000000479	476230	N
ENSCAFT00000000480	U	N
ENSCAFT00000000481	474423	N
ENSCAFT00000000484	476232	N
ENSCAFT00000000487	481138	N
ENSCAFT00000000489	481139	N
ENSCAFT00000000490	484018	N
ENSCAFT00000000491	478280	N
ENSCAFT00000000493	484019	cfa04130=SNARE interactions in vesicular transport
ENSCAFT00000000496	474424	N
ENSCAFT00000000501	442965	N
ENSCAFT00000000506	484022	N
ENSCAFT00000000507	484023	N
ENSCAFT00000000508	U	N
ENSCAFT00000000509	481452	cfa04080=Neuroactive ligand-receptor interaction.cfa04724=Glutamatergic synapse
ENSCAFT00000000511	481453	N
ENSCAFT00000000513	481141	N
ENSCAFT00000000517	476233	N
ENSCAFT00000000519	U	N
ENSCAFT00000000520	481455	N
ENSCAFT00000000522	474425	N
ENSCAFT00000000524	481142	cfa04020=Calcium signaling pathway.cfa04080=Neuroactive ligand-receptor interaction.cfa04270=Vascular smooth muscle contraction
ENSCAFT00000000525	479227	N
ENSCAFT00000000526	481143	N
ENSCAFT00000000529	608152	N
ENSCAFT00000000530	U	N
ENSCAFT00000000531	484024	cfa04020=Calcium signaling pathway.cfa04080=Neuroactive ligand-receptor interaction.cfa04540=Gap junction.cfa04720=Long-term potentiation.cfa04724=Glutamatergic synapse.cfa04730=Long-term depression.cfa05016=Huntington's disease
ENSCAFT00000000532	476234	N
ENSCAFT00000000533	U	N
ENSCAFT00000000535	484026	N
ENSCAFT00000000538	481454	cfa04144=Endocytosis
ENSCAFT00000000539	481144	cfa04360=Axon guidance
ENSCAFT00000000545	481456	N
ENSCAFT00000000548	403908	cfa04141=Protein processing in endoplasmic reticulum.cfa04145=Phagosome.cfa04612=Antigen processing and presentation.cfa05166=HTLV-I infection
ENSCAFT00000000549	474426	N
ENSCAFT00000000550	U	N
ENSCAFT00000000553	U	N
ENSCAFT00000000554	474427	cfa03013=RNA transport
ENSCAFT00000000555	481145	cfa04620=Toll-like receptor signaling pathway.cfa04622=RIG-I-like receptor signaling pathway.cfa04623=Cytosolic DNA-sensing pathway.cfa05160=Hepatitis C.cfa05162=Measles.cfa05164=Influenza A.cfa05168=Herpes simplex infection
ENSCAFT00000000556	U	N
ENSCAFT00000000559	608312	N
ENSCAFT00000000561	U	N
ENSCAFT00000000562	481458	cfa00510=N-Glycan biosynthesis.cfa01100=Metabolic pathways
ENSCAFT00000000563	474429	cfa00531=Glycosaminoglycan degradation.cfa01100=Metabolic pathways.cfa04142=Lysosome
ENSCAFT00000000565	U	N
ENSCAFT00000000567	U	N
ENSCAFT00000000571	607250	N
ENSCAFT00000000572	481148	cfa04310=Wnt signaling pathway
ENSCAFT00000000573	608386	N
ENSCAFT00000000574	U	N
ENSCAFT00000000575	608649	N
ENSCAFT00000000577	476238	cfa00532=Glycosaminoglycan biosynthesis - chondroitin sulfate
ENSCAFT00000000578	474432	N
ENSCAFT00000000580	474820	cfa00230=Purine metabolism.cfa00500=Starch and sucrose metabolism.cfa00740=Riboflavin metabolism.cfa00760=Nicotinate and nicotinamide metabolism.cfa00770=Pantothenate and CoA biosynthesis.cfa01100=Metabolic pathways
ENSCAFT00000000584	484028	cfa04010=MAPK signaling pathway.cfa04380=Osteoclast differentiation.cfa04620=Toll-like receptor signaling pathway.cfa04621=NOD-like receptor signaling pathway.cfa05140=Leishmaniasis.cfa05145=Toxoplasmosis.cfa05162=Measles.cfa05168=Herpes simplex infection
ENSCAFT00000000586	481150	cfa04210=Apoptosis.cfa04722=Neurotrophin signaling pathway
ENSCAFT00000000588	484029	N
ENSCAFT00000000591	U	N
ENSCAFT00000000592	608595	N
ENSCAFT00000000593	484030	N
ENSCAFT00000000595	U	N
ENSCAFT00000000596	U	N
ENSCAFT00000000597	474822	N
ENSCAFT00000000598	481460	N
ENSCAFT00000000601	474823	cfa00330=Arginine and proline metabolism.cfa01100=Metabolic pathways.cfa05146=Amoebiasis
ENSCAFT00000000603	476240	N
ENSCAFT00000000607	474434	N
ENSCAFT00000000614	476241	N
ENSCAFT00000000618	U	N
ENSCAFT00000000620	484031	cfa03013=RNA transport
ENSCAFT00000000621	U	N
ENSCAFT00000000622	U	N
ENSCAFT00000000624	474824	cfa03013=RNA transport
ENSCAFT00000000625	476242	N
ENSCAFT00000000626	U	N
ENSCAFT00000000627	474825	N
ENSCAFT00000000628	U	N
ENSCAFT00000000631	611924	N
ENSCAFT00000000632	474826	N
ENSCAFT00000000633	476244	N
ENSCAFT00000000634	474652	cfa04010=MAPK signaling pathway.cfa04012=ErbB signaling pathway.cfa04141=Protein processing in endoplasmic reticulum.cfa04310=Wnt signaling pathway.cfa04380=Osteoclast differentiation.cfa04510=Focal adhesion.cfa04620=Toll-like receptor signaling pathway.cfa04621=NOD-like receptor signaling pathway.cfa04622=RIG-I-like receptor signaling pathway.cfa04664=Fc epsilon RI signaling pathway.cfa04722=Neurotrophin signaling pathway.cfa04728=Dopaminergic synapse.cfa04910=Insulin signaling pathway.cfa04912=GnRH signaling pathway.cfa04914=Progesterone-mediated oocyte maturation.cfa04920=Adipocytokine signaling pathway.cfa04930=Type II diabetes mellitus.cfa05132=Salmonella infection.cfa05133=Pertussis.cfa05142=Chagas disease (American trypanosomiasis).cfa05145=Toxoplasmosis.cfa05152=Tuberculosis.cfa05160=Hepatitis C.cfa05164=Influenza A.cfa05166=HTLV-I infection.cfa05168=Herpes simplex infection.cfa05200=Pathways in cancer.cfa05210=Colorectal cancer.cfa05212=Pancreatic cancer
ENSCAFT00000000638	484035	N
ENSCAFT00000000639	474437	N
ENSCAFT00000000642	481152	N
ENSCAFT00000000643	403801	cfa03050=Proteasome.cfa04060=Cytokine-cytokine receptor interaction.cfa04140=Regulation of autophagy.cfa04350=TGF-beta signaling pathway.cfa04380=Osteoclast differentiation.cfa04612=Antigen processing and presentation.cfa04630=Jak-STAT signaling pathway.cfa04650=Natural killer cell mediated cytotoxicity.cfa04660=T cell receptor signaling pathway.cfa04940=Type I diabetes mellitus.cfa05132=Salmonella infection.cfa05140=Leishmaniasis.cfa05142=Chagas disease (American trypanosomiasis).cfa05143=African trypanosomiasis.cfa05144=Malaria.cfa05145=Toxoplasmosis.cfa05146=Amoebiasis.cfa05152=Tuberculosis.cfa05162=Measles.cfa05164=Influenza A.cfa05168=Herpes simplex infection.cfa05322=Systemic lupus erythematosus.cfa05323=Rheumatoid arthritis.cfa05330=Allograft rejection.cfa05332=Graft-versus-host disease
ENSCAFT00000000644	608923	cfa04060=Cytokine-cytokine receptor interaction.cfa04630=Jak-STAT signaling pathway
ENSCAFT00000000645	481705	N
ENSCAFT00000000647	481153	cfa04060=Cytokine-cytokine receptor interaction.cfa04630=Jak-STAT signaling pathway
ENSCAFT00000000648	474827	N
ENSCAFT00000000649	474439	N
ENSCAFT00000000651	608981	cfa04010=MAPK signaling pathway.cfa04062=Chemokine signaling pathway.cfa04510=Focal adhesion.cfa04670=Leukocyte transendothelial migration.cfa04720=Long-term potentiation.cfa04722=Neurotrophin signaling pathway.cfa04972=Pancreatic secretion.cfa05211=Renal cell carcinoma
ENSCAFT00000000652	477580	N
ENSCAFT00000000656	476245	cfa00670=One carbon pool by folate.cfa01100=Metabolic pathways
ENSCAFT00000000659	U	N
ENSCAFT00000000663	403693	cfa04110=Cell cycle.cfa04115=p53 signaling pathway.cfa04120=Ubiquitin mediated proteolysis.cfa04144=Endocytosis.cfa05200=Pathways in cancer.cfa05202=Transcriptional misregulation in cancer.cfa05214=Glioma.cfa05215=Prostate cancer.cfa05218=Melanoma.cfa05219=Bladder cancer.cfa05220=Chronic myeloid leukemia
ENSCAFT00000000664	476246	N
ENSCAFT00000000665	U	N
ENSCAFT00000000667	484036	N
ENSCAFT00000000670	476247	N
ENSCAFT00000000672	474441	cfa03015=mRNA surveillance pathway
ENSCAFT00000000674	611986	N
ENSCAFT00000000675	474442	cfa04970=Salivary secretion
ENSCAFT00000000677	476248	N
ENSCAFT00000000678	474443	N
ENSCAFT00000000680	403640	cfa04961=Endocrine and other factor-regulated calcium reabsorption
ENSCAFT00000000681	474444	cfa04722=Neurotrophin signaling pathway
ENSCAFT00000000684	474445	N
ENSCAFT00000000685	481706	cfa03040=Spliceosome
ENSCAFT00000000687	481157	N
ENSCAFT00000000688	481158	N
ENSCAFT00000000694	U	N
ENSCAFT00000000695	481159	N
ENSCAFT00000000697	481707	N
ENSCAFT00000000698	U	N
ENSCAFT00000000699	U	N
ENSCAFT00000000700	U	N
ENSCAFT00000000701	474446	cfa03018=RNA degradation
ENSCAFT00000000705	474830	cfa04145=Phagosome.cfa04540=Gap junction
ENSCAFT00000000709	481708	N
ENSCAFT00000000714	474832	N
ENSCAFT00000000717	481162	cfa04520=Adherens junction
ENSCAFT00000000718	U	N
ENSCAFT00000000721	481163	cfa04010=MAPK signaling pathway
ENSCAFT00000000723	474448	N
ENSCAFT00000000724	609478	N
ENSCAFT00000000725	U	N
